trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,p_yes_max,yes_price_min,yes_price_max
51,39,0.7647058823529411,29,0.7435897435897436,20.559999999999995,21.499999999999996,0.8772606278187401,-0.8800000000000008,0.34313725490196084,0.39,3.632136530665798,TAIL_NO,open,0.2,0.55,
12,10,0.75,7,0.7,7.27,7.43,1.1578285485707758,-0.6900000000000002,0.13083333333333336,0.08000000000000007,12.70977806915306,TAIL_NO,open,0.2,0.65,
10,8,0.9,7,0.875,7.96,8.08,2.6026726225181878,-0.040000000000000036,0.09200000000000003,0.06000000000000005,15.464044289044278,TAIL_NO,open,0.2,0.75,
138,107,0.7463768115942029,81,0.7570093457943925,38.589999999999996,41.239999999999995,0.615071484117419,-1.4399999999999977,0.447536231884058,0.505,1.6991458029755266,TAIL_NO,open,0.3,0.45,
56,44,0.7321428571428571,31,0.7045454545454546,21.509999999999994,22.519999999999996,0.8220997466190006,-0.9199999999999999,0.33000000000000007,0.39,3.6010925943960337,TAIL_NO,open,0.3,0.55,
15,13,0.6666666666666666,8,0.6153846153846154,8.13,8.319999999999999,1.0273757437215492,-0.69,0.11200000000000003,0.050000000000000044,11.243378010878,TAIL_NO,open,0.3,0.65,
13,11,0.7692307692307693,8,0.7272727272727273,8.82,8.97,1.629310653716195,-0.08000000000000007,0.07923076923076924,0.040000000000000036,13.136444324905852,TAIL_NO,open,0.3,0.75,
145,114,0.7379310344827587,85,0.7456140350877193,39.14999999999999,41.94,0.5903941421529597,-1.4399999999999977,0.4486896551724138,0.5,1.6232905598656417,TAIL_NO,open,0.4,0.45,
59,47,0.711864406779661,32,0.6808510638297872,21.239999999999995,22.309999999999995,0.7506406367072711,-0.9900000000000002,0.33372881355932216,0.39,3.4080743517182945,TAIL_NO,open,0.4,0.55,
15,13,0.6666666666666666,8,0.6153846153846154,8.13,8.319999999999999,1.0273757437215492,-0.69,0.11200000000000003,0.050000000000000044,11.243378010878,TAIL_NO,open,0.4,0.65,
13,11,0.7692307692307693,8,0.7272727272727273,8.82,8.97,1.629310653716195,-0.08000000000000007,0.07923076923076924,0.040000000000000036,13.136444324905852,TAIL_NO,open,0.4,0.75,
240,175,1.0,175,1.0,2.0816681711721685e-15,2.400000000000002,0.0,0.0,0.9900000000000001,0.99,8.761229676650542e-18,NEAR_CONFIRMED_NO,open,0.005,,0.01
426,292,0.9953051643192489,290,0.9931506849315068,-1.9999999999999967,2.260000000000004,-0.06859962395241903,-2.0,0.99,0.99,-0.004742258263385016,NEAR_CONFIRMED_NO,open,0.005,,0.03
616,380,0.9902597402597403,374,0.9842105263157894,-2.949999999999992,3.2100000000000084,-0.04889629464790757,-3.099999999999994,0.9850487012987013,0.99,-0.004865184327198736,NEAR_CONFIRMED_NO,open,0.005,,0.05
697,398,0.9899569583931134,391,0.9824120603015075,-1.1499999999999897,5.820000000000012,-0.016534476546840614,-3.4699999999999993,0.9816068866571019,0.99,-0.0016021382893252225,NEAR_CONFIRMED_NO,open,0.005,,0.1
249,177,0.9959839357429718,176,0.9943502824858758,-0.999999999999998,1.4900000000000022,-0.06337242505244767,-1.0,0.9900000000000001,0.99,-0.004056630562654651,NEAR_CONFIRMED_NO,open,0.01,,0.01
441,295,0.9909297052154195,291,0.9864406779661017,-3.9999999999999964,0.4100000000000039,-0.09556444032430425,-4.0,0.9900000000000001,0.99,-0.009161913923818679,NEAR_CONFIRMED_NO,open,0.01,,0.03
642,384,0.9875389408099688,376,0.9791666666666666,-4.779999999999992,1.640000000000009,-0.06714851898955722,-4.929999999999994,0.9849844236760124,0.99,-0.007542716226459486,NEAR_CONFIRMED_NO,open,0.01,,0.05
733,403,0.9877216916780355,394,0.9776674937965261,-2.6199999999999894,4.710000000000012,-0.03234502815717517,-3.6599999999999997,0.9812960436562075,0.99,-0.003525960546445949,NEAR_CONFIRMED_NO,open,0.01,,0.1
254,179,0.9960629921259843,178,0.994413407821229,-0.999999999999998,1.5400000000000023,-0.06274558051381574,-1.0,0.99,0.99,-0.003976775630318929,NEAR_CONFIRMED_NO,open,0.02,,0.01
456,301,0.9890350877192983,296,0.9833887043189369,-4.9999999999999964,-0.43999999999999595,-0.10517681330515416,-5.0,0.9900000000000001,0.99,-0.011075668970405806,NEAR_CONFIRMED_NO,open,0.02,,0.03
665,388,0.9864661654135338,379,0.9768041237113402,-5.6499999999999915,1.0000000000000087,-0.07350755680951922,-5.819999999999996,0.9849624060150376,0.99,-0.008599729021180278,NEAR_CONFIRMED_NO,open,0.02,,0.05
763,406,0.9868938401048493,396,0.9753694581280788,-3.249999999999989,4.380000000000012,-0.037284499005172854,-4.329999999999997,0.9811533420707733,0.99,-0.004206565232987016,NEAR_CONFIRMED_NO,open,0.02,,0.1
264,182,0.9924242424242424,180,0.989010989010989,-1.999999999999998,0.6400000000000023,-0.08720477441636178,-2.0,0.9900000000000001,0.99,-0.007652280379553099,NEAR_CONFIRMED_NO,open,0.05,,0.01
479,306,0.9832985386221295,298,0.9738562091503268,-7.9999999999999964,-3.2099999999999973,-0.13019093065935622,-8.0,0.99,0.99,-0.016870163007950058,NEAR_CONFIRMED_NO,open,0.05,,0.03
701,394,0.9800285306704708,380,0.9644670050761421,-10.44999999999999,-3.4399999999999924,-0.1065336667788469,-10.659999999999982,0.9849358059914409,0.99,-0.015113986363768381,NEAR_CONFIRMED_NO,open,0.05,,0.05
